"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"10-SEP-2024","GATECH","GACM Technologies Limited","MANOJKUMAR MADHAVLAL CHAUDHARI","SELL","1,00,00,000","1.54","-"
"10-SEP-2024","GATECH","GACM Technologies Limited","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","BUY","1,15,09,338","1.54","-"
"10-SEP-2024","GATECH","GACM Technologies Limited","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","SELL","1,59,39,338","1.51","-"
"10-SEP-2024","GATECH","GACM Technologies Limited","SILONI UPPAL","SELL","67,83,973","1.54","-"
"10-SEP-2024","GATECH","GACM Technologies Limited","SILONI UPPAL","BUY","1,00,55,916","1.54","-"
"10-SEP-2024","GATECH","GACM Technologies Limited","VIKRAMBHAI GOKALBHAI CHAUDHARI","BUY","1,44,61,106","1.51","-"
"10-SEP-2024","GATECH","GACM Technologies Limited","VIKRAMBHAI GOKALBHAI CHAUDHARI","SELL","1,47,61,106","1.54","-"
"10-SEP-2024","GATECHDVR","GACM Technologies Limited","AMIN ABDULBHAI NAYANI","SELL","39,169","1.53","-"
"10-SEP-2024","GATECHDVR","GACM Technologies Limited","AMIN ABDULBHAI NAYANI","BUY","8,00,000","1.53","-"
"10-SEP-2024","GATECHDVR","GACM Technologies Limited","CHANDAN  CHAURASIYA","SELL","17,04,805","1.54","-"
"10-SEP-2024","GATECHDVR","GACM Technologies Limited","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","SELL","2,00,000","1.64","-"
"10-SEP-2024","GATECHDVR","GACM Technologies Limited","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","BUY","38,00,000","1.53","-"
"10-SEP-2024","GLOBUSSPR","Globus Spirits Limited","HRTI PRIVATE LIMITED","SELL","1,83,242","1,203.75","-"
"10-SEP-2024","GLOBUSSPR","Globus Spirits Limited","HRTI PRIVATE LIMITED","BUY","1,95,477","1,215.13","-"
